A!REFDES!COMP_REUSE_ID!COMP_SIGNAL_MODEL!COMP_NO_XNET_CONNECTION!COMP_PARENT_PPT!COMP_SYMBOL_EDITED!COMP_PARENT_PPT_PART!COMP_EMBEDDED_PLACEMENT!
J!C:/Users/Jimmy-X/Desktop/¶ÌÑ§ÆÚ/designer/worklib/52/physical/pcb.brd!Sat Jul 17 19:21:18 2021!0.00!0.00!21000.00!17000.00!0.01!mils!52!10.400000 mil!2!OUT OF DATE!
S!AT1!!!!AT24C02!!AT24C02-43010006,AT24C02!!
S!BJT1!!!!BJT_PNP!!BJT_PNP-15050001,BJT_PNP!!
S!BZ1!!!!BUZZ!!BUZZ-43010005,BUZZ!!
S!C3!!!!CAPACITANCE!!CAPACITANCE-08070001,10U!!
S!C5!!!!CAPACITANCE!!CAPACITANCE-08070001,10U!!
S!C10!!!!CAPACITANCE!!CAPACITANCE-08070001,10U!!
S!C1!!!!CAPACITANCE!!CAPACITANCE-08070002,30P!!
S!C2!!!!CAPACITANCE!!CAPACITANCE-08070002,30P!!
S!C7!!!!CAPACITANCE!!CAPACITANCE-08070004,0.1U!!
S!C8!!!!CAPACITANCE!!CAPACITANCE-08070004,0.1U!!
S!X1!!!!CRYSTAL!!CRYSTAL-12010001,12.000MHZ!!
S!D1!!!!L7805!!L7805-43010004,L7805!!
S!LCD!!!!LCD1602!!LCD1602-15020001,LCD1602!!
S!L1!!!!LED!!LED-15020001,LED!!
S!L2!!!!LED!!LED-15020001,LED!!
S!P2!!!!MLX90614!!MLX90614-43020001,MLX90614!!
S!OLED1!!!!OLED!!OLED-43010001,OLED!!
S!RP!!!!POTENTIOMETER!!POTENTIOMETER-07080001,POTENTIOMETER!!
S!R4!!!!RESISTOR!!RESISTOR-07010001,1K!!
S!R5!!!!RESISTOR!!RESISTOR-07010001,1K!!
S!R6!!!!RESISTOR!!RESISTOR-07010001,1K!!
S!R7!!!!RESISTOR!!RESISTOR-07010001,1K!!
S!R2!!!!RESISTOR!!RESISTOR-07010003,10K!!
S!R1!!!!RESISTOR!!RESISTOR-07010004,330!!
S!R3!!!!RESISTOR!!RESISTOR-07010004,330!!
S!P1!!!!SOCKET2!!SOCKET2-14050003,SOCKET2!!
S!P3!!!!SOCKET5!!SOCKET5-14050001,SOCKET5!!
S!P4!!!!SOCKET6!!SOCKET6-14050002,SOCKET6!!
S!U1!!!!STC89C52!!STC89C52-41020001,STC89C52!!
S!SW1!!!!SWITCH!!SWITCH-16100002,SWITCH!!
S!SW2!!!!SWITCH!!SWITCH-16100002,SWITCH!!
S!SW3!!!!SWITCH!!SWITCH-16100002,SWITCH!!
S!SW4!!!!SWITCH!!SWITCH-16100002,SWITCH!!
S!SWL1!!!!SWITCH_LOCK!!SWITCH_LOCK-16050001,SWITCH_LOCK!!
