part_number,LM339,,,,
class,IC,,,,
PHYS_DES_PREFIX,LM339,,,,
vendor,LM,,,,
body_name,LM339,,,,
jedec_type,LM339,,,,
PIN_NUMBER,PIN_NAME,PIN_TYPE,SYMBOL,PIN_LOCATION,PIN_POSITION
1,OUT2,UNSPEC,1,Left,12
2,OUT1,UNSPEC,1,Left,10
3,VCC,UNSPEC,1,Left,8
4,IN-(1),UNSPEC,1,Left,6
5,IN+(1),UNSPEC,1,Left,4
6,IN-(2),UNSPEC,1,Left,2
7,IN+(2),UNSPEC,1,Left,0
8,IN-(3),UNSPEC,1,Right,0
9,IN+(3),UNSPEC,1,Right,2
10,IN-(4),UNSPEC,1,Right,4
11,IN+(4),UNSPEC,1,Right,6
12,GND,UNSPEC,1,Right,8
13,OUT4,UNSPEC,1,Right,10
14,OUT3,UNSPEC,1,Right,12
